url,url_length,num_dots,num_digits,num_hyphens,has_https,has_at_symbol,has_ip,num_redirects,num_subdomains,suspicious_keyword_count,url_entropy,special_char_count,num_slashes,digit_ratio,has_shortener,label
https://notion.net/blog/2026/updates,36,1,4,0,1,0,0,0,0,1,4.0386,1,5,0.1111,0,safe
http://cutt.ly/nglnqvw,22,1,0,0,0,0,0,0,0,0,3.6978,1,3,0.0,1,phishing
https://help.python.net/en/home,31,2,0,0,1,0,0,0,1,0,3.4861,1,4,0.0,0,safe
https://docs.harvard.com/,25,2,0,0,1,0,0,0,1,0,3.7337,1,3,0.0,0,safe
http://ic10ud-update.top/update/kyg7f,37,1,3,1,0,0,0,0,0,1,4.0981,1,4,0.0811,0,phishing
http://55.173.40.48/icloud-unlock/1ji523.php,44,4,13,1,0,0,1,0,0,1,4.4251,1,4,0.2955,0,phishing
http://jgf82k.6kr4.7mb.amazon.ml/verify,39,4,5,0,0,0,0,0,3,1,4.58,1,3,0.1282,0,phishing
http://outlook-update.tk/login/signin/eftqim8f?id=tvrdpi4rgv,60,1,2,1,0,0,0,0,0,3,4.4437,3,5,0.0333,0,phishing
https://docs.un.com/en/home,27,2,0,0,1,0,0,0,1,0,3.6899,1,4,0.0,0,safe
https://reuters.org/products,28,1,0,0,1,0,0,0,0,0,3.6106,1,3,0.0,0,safe
http://amaz0n-secure.info/secure/17yp2,38,1,4,1,0,0,0,0,0,1,4.4058,1,4,0.1053,0,phishing
https://help.coursera.org/en/home?ref=ciki,42,2,0,0,1,0,0,0,1,0,4.2228,3,4,0.0,0,safe
https://www.stackoverflow.io/en/home,36,2,0,0,1,0,0,0,1,0,4.0724,1,4,0.0,0,safe
http://rb.gy/agrr634,20,1,3,0,0,0,0,0,0,0,3.6464,1,3,0.15,1,phishing
http://fnxe.majw6xm.0u8fw.dhl.cf/alert,38,4,3,0,0,0,0,0,3,1,4.2936,1,3,0.0789,0,phishing
https://167.243.234.210/amazon-alert/7lkq2p.php,47,4,14,1,1,0,1,0,0,1,4.4161,1,4,0.2979,0,phishing
https://instagram-alert.ga/alert/fpm38,38,1,2,1,1,0,0,0,0,1,3.9854,1,4,0.0526,0,phishing
https://m5elja.juc8tu.ltb971c1.wellsfargo.ga/login,50,4,6,0,1,0,0,0,3,1,4.5264,1,3,0.12,0,phishing
https://en.mozilla.org/pricing?ref=m80o,39,2,2,0,1,0,0,0,1,0,4.3875,3,3,0.0513,0,safe
https://www.dropbox.org/pricing,31,2,0,0,1,0,0,0,1,0,3.9292,1,3,0.0,0,safe
https://tinyurl.com/kepw0h6,27,1,2,0,1,0,0,0,0,0,4.2545,1,3,0.0741,1,phishing
https://bno7if.29jpm.jdruez.apple.click/unlock,46,4,3,0,1,0,0,0,3,2,4.5178,1,3,0.0652,0,phishing
https://help.reuters.gov/products,33,2,0,0,1,0,0,0,1,0,3.8391,1,3,0.0,0,safe
https://bit.ly/hetooc1,22,1,1,0,1,0,0,0,0,0,3.6978,1,3,0.0455,1,phishing
http://hdn3x.3a2ybz.1rh.netflix.cf/reset-password,49,4,4,1,0,0,0,0,3,2,4.5173,1,3,0.0816,0,phishing
http://m28s12d.4bh74k0.cbhn1xhd.rstq.cz4r.icloud.xyz/unlock,59,6,10,0,0,0,0,0,5,1,4.6194,1,3,0.1695,0,phishing
http://google-update.top/authenticate/confirm/confirm/billing/v0imdm3t?id=qb66d15c69,84,1,8,1,0,0,0,0,0,4,4.6222,3,7,0.0952,0,phishing
https://docs.who.io/docs/getting-started,40,2,0,1,1,0,0,0,1,0,3.9153,1,4,0.0,0,safe
https://help.spotify.org/products,33,2,0,0,1,0,0,0,1,0,3.9455,1,3,0.0,0,safe
http://eipm12.gjgvwrk.2p22.binance.tk/confirm,45,4,5,0,0,0,0,0,3,1,4.3413,1,3,0.1111,0,phishing
